permit,year,annual_avg
WA1975G101,1994,35805
WA1975G101,1995,48516
WA1975G101,1996,55516
WA1975G101,1997,55162
WA1975G101,1998,47372
WA1975G101,1999,43012
WA1975G101,2000,46696
WA1975G101,2001,41854
WA1975G101,2002,30841
WA1975G101,2003,42058
WA1975G101,2004,43834
WA1975G101,2005,47830
WA1975G101,2006,31921
WA1975G101,2007,33022
WA1975G101,2008,30739
WA1975G101,2009,28082
WA1975G101,2010,16314
WA1975G101,2011,30062
WA1975G101,2012,35131
WA1975G101,2013,34784
WA1975G101,2014,32497
WA1975G101,2015,34528
WA1975G101,2016,31314
WA1975G101,2017,33901
WA1975G101,2018,36823
WA1975G101,2019,30753
WA1975G101,2020,31345
WA1975G101,2021,29304
WA1994G003,1995,0
WA1994G003,1996,0
WA1994G003,1997,128
WA1994G003,1998,2047
WA1994G003,1999,2975
WA1994G003,2000,1984
WA1994G003,2001,3001
WA1994G003,2002,4999
WA1994G003,2003,74
WA1994G003,2004,2759
WA1994G003,2005,637
WA1994G003,2006,842
WA1994G003,2007,2064
WA1994G003,2008,1384
WA1994G003,2009,965
WA1994G003,2010,1825
WA1994G003,2011,1243
WA1994G003,2012,1158
WA1994G003,2013,1287
WA1994G003,2014,767
WA1994G003,2015,1231
WA1994G003,2016,1267
WA1994G003,2017,1481
WA1994G003,2018,902
WA1994G003,2019,1055
WA1994G003,2020,1325
WA1994G003,2021,1446
WA2011G001,2011,0
WA2011G001,2012,0
WA2011G001,2013,0
WA2011G001,2014,0
WA2011G001,2015,0
WA2011G001,2016,0
WA2011G001,2017,0
WA2011G001,2018,0
WA2011G001,2019,0
WA2011G001,2020,0
WA2011G001,2021,0
